Names,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa,1520.423052,1404.16966,1390.127857,1379.696975,1414.827518,1445.483934,1470.546684,1458.720115,1481.977613,1453.28686,1433.331995,1456.550558,1495.868735,1536.467135,1541.504149,1581.53101,1589.853867,1585.26111,1611.077589,1596.389198,1574.677625,1605.704702,1605.497032,1714.529528,1765.402135,1826.190632,1817.325208,1894.293161,1976.646684,2020.48919,2074.761679,2096.839886,2152.227004,2230.71923,2281.911883,2318.810956,2373.827182,2432.780425,2459.526673,2492.172866,2429.868545
Asia,10961.66132,10726.66784,10985.1115,11266.08456,11448.44156,11891.0986,12058.59958,12437.44828,13177.80909,13514.2328,13208.65822,13325.89938,12415.9634,12898.88343,12943.24611,13285.90809,13703.28983,13586.77432,12831.86989,13220.6236,13554.56537,13894.24198,14353.112,15349.63605,16275.48233,17106.24127,17887.7104,18740.96338,19749.90147,20402.06828,21583.80476,22910.84536,23923.68816,24176.61076,24480.05483,24796.73199,25112.02033,25599.8439,26298.74232,26706.79291,25851.87561
Europe,7022.036345,6586.612973,6415.001093,6315.764848,6322.914026,6441.214345,6539.712378,6682.32253,6688.06521,6719.606777,6600.092862,6447.09803,6727.384288,6363.813572,6286.009554,6385.443812,6423.462479,6285.48324,6439.137173,6337.568144,6418.724978,6379.959873,6402.009791,6543.334526,6717.556169,6703.731661,6880.209692,6825.697888,6693.063026,6122.853753,6253.282894,6195.517552,5892.769103,5729.762574,5579.320848,5532.937024,5446.498651,5507.192978,5521.051164,5325.426785,4783.352739
North America,6885.01425,6712.680063,6399.670938,6493.287563,6832.921938,6824.212563,6568.810366,6843.579056,7112.013933,7266.359685,6935.183114,6843.997812,7043.976908,7107.454951,7246.820249,7342.68142,7558.036224,7723.207547,7982.167873,8143.745976,8467.548258,8316.887701,8456.160259,8508.024284,8780.091384,8830.771943,8830.082128,8873.703168,8527.341245,7883.977972,8156.365165,8051.835122,7835.901402,7938.395335,7956.063866,7821.832403,7653.44207,7644.412027,7878.468441,7681.547605,6913.392845
Oceania,367.7929325,381.8314492,381.146098,374.2877009,392.5134267,395.8542936,393.3561256,415.2549485,432.8403709,458.2597746,436.4436726,435.5744024,434.5966531,431.1775212,441.494972,447.2973387,457.6159943,469.6145682,489.1187176,488.1927096,482.6763264,486.9285475,511.940897,529.1490465,556.1032371,552.7980272,565.3016813,583.001728,567.1404245,588.5534989,584.3463443,599.5078716,624.1680113,599.0458615,602.5138419,606.3249109,591.5054196,598.5478643,588.4684228,588.4889571,530.3814624
